,AAA,AAB,AAC,AAD,AAE,BAA,BBA,BBB,BBC
Elastic Modulus.a,0.0,0.0,,,,0,1,7,
Elastic Modulus.b,0.0,0.0,,,,0,3,6,
Elastic Modulus.c,,,,,,15,14,11,
Elongation.a,0.0,0.0,,,,0,1,7,
Elongation.b,0.0,0.0,,,,0,3,6,
Elongation.c,,,,,,15,14,11,
Maximum ∂2σ/∂ε2.a,0.0,0.0,,,,0,1,9,
Maximum ∂2σ/∂ε2.b,0.0,0.0,,,,0,3,6,
Maximum ∂2σ/∂ε2.c,,,,,,16,14,11,
Measured Composition (%).Al,0.0,0.0,4.0,2.0,1.0,0,1,6,
Measured Composition (%).Co,0.0,0.0,4.0,2.0,1.0,0,1,6,
Measured Composition (%).Cr,0.0,0.0,4.0,2.0,1.0,0,1,6,
Measured Composition (%).Cu,0.0,0.0,4.0,2.0,1.0,0,1,6,
Measured Composition (%).Fe,0.0,0.0,4.0,2.0,1.0,0,1,6,
Measured Composition (%).Mn,0.0,0.0,4.0,2.0,1.0,0,1,6,
Measured Composition (%).Ni,0.0,0.0,4.0,2.0,1.0,0,1,6,
Measured Composition (%).V,0.0,0.0,4.0,2.0,1.0,0,1,6,
Target Composition (%).Al,0.0,0.0,0.0,0.0,0.0,0,0,0,
Target Composition (%).Co,0.0,0.0,0.0,0.0,0.0,0,0,0,
Target Composition (%).Cr,0.0,0.0,0.0,0.0,0.0,0,0,0,
Target Composition (%).Cu,0.0,0.0,0.0,0.0,0.0,0,0,0,
Target Composition (%).Fe,0.0,0.0,0.0,0.0,0.0,0,0,0,
Target Composition (%).Mn,0.0,0.0,0.0,0.0,0.0,0,0,0,
Target Composition (%).Ni,0.0,0.0,0.0,0.0,0.0,0,0,0,
Target Composition (%).V,0.0,0.0,0.0,0.0,0.0,0,0,0,
UTS/YS Ratio.a,0.0,0.0,,,,0,1,7,
UTS/YS Ratio.b,0.0,0.0,,,,0,3,6,
UTS/YS Ratio.c,,,,,,15,14,11,
Ultimate Tensile Strength.a,0.0,0.0,,,,0,1,7,
Ultimate Tensile Strength.b,0.0,0.0,,,,0,3,6,
Ultimate Tensile Strength.c,,,,,,15,14,11,
XRD.Lattice Parameters,0.0,0.0,0.0,0.0,0.0,0,1,6,
XRD.Phase,0.0,0.0,0.0,0.0,0.0,0,1,6,
Yield Strength.a,0.0,0.0,,,,0,1,7,
Yield Strength.b,0.0,0.0,,,,0,3,6,
Yield Strength.c,,,,,,15,14,11,
