Target Composition (%).Co,Target Composition (%).Cr,Target Composition (%).Fe,Target Composition (%).Mn,Target Composition (%).Ni,Target Composition (%).V,Measured Composition (%).Al,Measured Composition (%).Co,Measured Composition (%).Cr,Measured Composition (%).Cu,Measured Composition (%).Fe,Measured Composition (%).Mn,Measured Composition (%).Ni,Measured Composition (%).V,XRD.Phase,XRD.Lattice Parameters,Elastic Modulus (Average),Elongation (Average),Maximum ∂2σ/∂ε2 (Average),UTS/YS Ratio (Average),Ultimate Tensile Strength (Average),Yield Strength (Average)
8,8,24,8,44,8,0,8.163333333333334,8.292666666666667,0,24.02466666666667,8.163333333333334,43.16400000000001,8.198666666666668,FCC,3.592027,215.54511043602201,0.0,3601.2340570348597,4.300329099746609,755.7763288788294,175.7510535245365
16,8,8,12,44,12,0,16.17928571428572,8.243571428571428,0,8.172142857142857,12.102142857142857,42.989285714285714,12.31,FCC,3.5967216,221.379420604275,0.0,-43248.952427841505,2.0511795151145122,696.5249893683844,336.28546074762363
32,8,8,12,32,8,0,31.958000000000002,8.314666666666666,0,8.152666666666667,12.309333333333335,31.064666666666668,8.200666666666667,FCC,3.5815904,236.402607579292,0.0,-659.1002920882045,3.9328774330819476,1027.431770746895,261.272043239183
8,8,20,12,44,8,0,8.097333333333331,8.043333333333331,0,20.11733333333333,12.357333333333333,43.20733333333333,8.176666666666666,FCC,3.592766,205.663203547402,0.0,2730.3283585209065,4.045374931172827,748.3970436635003,185.179387934971
16,8,16,8,44,8,0,16.116,8.219333333333333,0,16.116,8.196000000000003,43.15866666666667,8.188,FCC,3.5812113,209.320534290725,0.0,105.28472627674,3.5750400728856926,937.10560262301,262.1828433491725
8,8,32,8,40,4,0,8.302666666666665,8.258000000000001,0,32.11133333333333,8.168666666666667,39.06933333333333,4.089333333333333,FCC,3.5902166,208.62858939548065,0.0,-17687.036144961032,1.643826197105574,617.9662861694529,375.53676750894533
16,8,12,12,40,12,0,15.991999999999997,8.222,0,12.086666666666668,12.241999999999999,39.18333333333332,12.272666666666668,FCC,3.5941243,227.62592948438967,0.0,-3507.314556128403,3.2404309235212168,818.9677997702989,252.4438275948353
16,8,12,12,40,12,0,16.158571428571427,8.220714285714285,0,12.148571428571428,12.208571428571432,39.105714285714285,12.157857142857143,FCC,3.587536,221.12859926203998,0.0,719.2577782867954,4.030497733598962,1029.209880959085,255.37187607537948
28,12,12,8,36,4,0,27.932666666666666,12.276000000000002,0,12.15,8.234000000000002,35.32333333333334,4.083333333333333,FCC,3.5738897,214.1773853134305,0.0,1205.505111272045,4.60621151895362,830.963691376252,180.4251686696895
12,8,20,8,44,8,0,12.26,8.199999999999998,0,20.09466666666667,8.173333333333332,43.08933333333333,8.182666666666666,FCC,3.5877101,227.3376607025555,0.0,-826.8586324229195,3.830501324498081,897.9108657476785,234.4547694067285
