Sample,Missing Values,Campaign
AAA16_VAM-B,0,AAA
AAA05_VAM-B,0,AAA
AAA02_VAM-B,0,AAA
AAA08_VAM-B,0,AAA
AAA11_VAM-B,0,AAA
AAA15_VAM-B,0,AAA
AAA06_VAM-B,0,AAA
AAA01_VAM-B,0,AAA
AAA12_VAM-B,0,AAA
AAA10_VAM-B,0,AAA
AAA09_VAM-B,0,AAA
AAA03_VAM-B,0,AAA
AAA04_VAM-B,0,AAA
AAA13_VAM-B,0,AAA
AAA07_VAM-B,0,AAA
AAA14_VAM-B,0,AAA
AAB06_VAM-A,0,AAB
AAB15_VAM-A,0,AAB
AAB12_VAM-A,0,AAB
AAB01_VAM-A,0,AAB
AAB05_VAM-A,0,AAB
AAB16_VAM-A,0,AAB
AAB11_VAM-A,0,AAB
AAB02_VAM-A,0,AAB
AAB08_VAM-A,0,AAB
AAB13_VAM-A,0,AAB
AAB14_VAM-A,0,AAB
AAB07_VAM-A,0,AAB
AAB09_VAM-A,0,AAB
AAB03_VAM-A,0,AAB
AAB10_VAM-A,0,AAB
AAB04_VAM-A,0,AAB
AAC06_VAM-A,0,AAC
AAC15_VAM-A,8,AAC
AAC12_VAM-A,8,AAC
AAC01_VAM-A,0,AAC
AAC05_VAM-A,0,AAC
AAC16_VAM-A,8,AAC
AAC11_VAM-A,0,AAC
AAC02_VAM-A,0,AAC
AAC08_VAM-A,0,AAC
AAC13_VAM-A,0,AAC
AAC14_VAM-A,8,AAC
AAC07_VAM-A,0,AAC
AAC09_VAM-A,0,AAC
AAC03_VAM-A,0,AAC
AAC10_VAM-A,0,AAC
AAC04_VAM-A,0,AAC
AAD01_VAM-A,0,AAD
AAD12_VAM-A,8,AAD
AAD15_VAM-A,0,AAD
AAD06_VAM-A,0,AAD
AAD08_VAM-A,0,AAD
AAD02_VAM-A,0,AAD
AAD11_VAM-A,0,AAD
AAD16_VAM-A,8,AAD
AAD05_VAM-A,0,AAD
AAD07_VAM-A,0,AAD
AAD14_VAM-A,0,AAD
AAD13_VAM-A,0,AAD
AAD04_VAM-A,0,AAD
AAD10_VAM-A,0,AAD
AAD03_VAM-A,0,AAD
AAD09_VAM-A,0,AAD
AAE13_VAM-A,0,AAE
AAE07_VAM-A,0,AAE
AAE14_VAM-A,0,AAE
AAE10_VAM-A,0,AAE
AAE09_VAM-A,0,AAE
AAE03_VAM-A,0,AAE
AAE04_VAM-A,0,AAE
AAE15_VAM-A,8,AAE
AAE06_VAM-A,0,AAE
AAE01_VAM-A,0,AAE
AAE12_VAM-A,0,AAE
AAE16_VAM-A,0,AAE
AAE05_VAM-A,0,AAE
AAE02_VAM-A,0,AAE
AAE08_VAM-A,0,AAE
AAE11_VAM-A,0,AAE
BAA01_VAM-A,6,BAA
BAA02_VAM-A,6,BAA
BAA03_VAM-A,6,BAA
BAA04_VAM-A,6,BAA
BAA05_VAM-A,6,BAA
BAA06_VAM-A,6,BAA
BAA07_VAM-A,6,BAA
BAA08_VAM-A,6,BAA
BAA09_VAM-A,6,BAA
BAA10_VAM-A,6,BAA
BAA11_VAM-A,1,BAA
BAA12_VAM-A,6,BAA
BAA13_VAM-A,6,BAA
BAA14_VAM-A,6,BAA
BAA15_VAM-A,6,BAA
BAA16_VAM-A,6,BAA
BBA01_VAM-A,6,BBA
BBA02_VAM-A,0,BBA
BBA03_VAM-A,6,BBA
BBA04_VAM-A,28,BBA
BBA05_VAM-A,6,BBA
BBA06_VAM-A,6,BBA
BBA07_VAM-A,0,BBA
BBA08_VAM-A,6,BBA
BBA09_VAM-A,6,BBA
BBA10_VAM-A,0,BBA
BBA11_VAM-A,12,BBA
BBA12_VAM-A,0,BBA
BBA13_VAM-A,6,BBA
BBA14_VAM-A,6,BBA
BBA15_VAM-A,12,BBA
BBA16_VAM-A,6,BBA
BBA17_VAM-A,0,BBA
BBA18_VAM-A,6,BBA
BBA19_VAM-A,6,BBA
BBB01_VAM-A,6,BBB
BBB02_VAM-A,6,BBB
BBB03_VAM-A,6,BBB
BBB04_VAM-A,1,BBB
BBB05_VAM-A,28,BBB
BBB06_VAM-A,28,BBB
BBB07_VAM-A,6,BBB
BBB08_VAM-A,0,BBB
BBB09_VAM-A,28,BBB
BBB10_VAM-A,28,BBB
BBB11_VAM-A,28,BBB
BBB12_VAM-A,6,BBB
BBB13_VAM-A,6,BBB
BBB14_VAM-A,1,BBB
BBB15_VAM-A,0,BBB
BBB16_VAM-A,28,BBB
BBC02_VAM-A,6,BBC
BBC01_VAM-A,6,BBC
BBC03_VAM-A,6,BBC
BBC04_VAM-A,6,BBC
BBC08_VAM-A,1,BBC
BBC11_VAM-A,1,BBC
BBC12_VAM-A,6,BBC
BBC13_VAM-A,6,BBC
BBC14_VAM-A,0,BBC
BBC15_VAM-A,1,BBC
BBC05_VAM-A,28,BBC
BBC06_VAM-A,28,BBC
BBC07_VAM-A,28,BBC
BBC09_VAM-A,28,BBC
BBC10_VAM-A,28,BBC
BBC16_VAM-A,28,BBC
CBA01_VAM-A,6,CBA
CBA02_VAM-A,0,CBA
CBA03_VAM-A,6,CBA
CBA04_VAM-A,0,CBA
CBA05_VAM-A,6,CBA
CBA06_VAM-A,0,CBA
CBA07_VAM-A,0,CBA
CBA08_VAM-A,6,CBA
CBA09_VAM-A,6,CBA
CBA10_VAM-A,6,CBA
CBA11_VAM-A,0,CBA
CBA12_VAM-A,6,CBA
CBA13_VAM-A,6,CBA
CBA14_VAM-A,6,CBA
CBA15_VAM-A,0,CBA
CBA16_VAM-A,0,CBA
CBA17_VAM-A,20,CBA
CBA18_VAM-A,0,CBA
CBA19_VAM-A,6,CBA
CBA20_VAM-A,6,CBA
CBA21_VAM-A,6,CBA
CBA22_VAM-A,0,CBA
CBA23_VAM-A,0,CBA
CBA24_VAM-A,6,CBA
AAA,0,AAA
AAB,0,AAB
AAC,32,AAC
AAD,16,AAD
AAE,8,AAE
BAA,91,BAA
BBA,118,BBA
BBB,206,BBB
BBC,207,BBC
CBA,98,CBA
